appname,alertid,class,words
spg-service-request-inbound-consumer,a1642502490828,a.c.t.b.r.s.e.customexceptionhandler,info actbrsecustomexceptionhandler  requestid response errorresource type title badrequest status 400 message cannot deserialize instance of jlangstring out of startarray token
spg-service-request-inbound-consumer,a1642502490829,a.c.t.b.r.s.e.customexceptionhandler,info actbrsecustomexceptionhandler  customexceptionhandler handlecustomexception is returning 404 notfound not found errorresource type title badrequest status 400 message cannot deserialize instance of jlangstring out of startarray token
spg-service-request-inbound-consumer,a1642502490838,o.s.w.c.httpservererrorexception.badgateway,oswchttpservererrorexceptionbadgateway 502 bad gateway
spg-service-request-inbound-consumer,a1642502490888,a.c.t.b.r.s.e.customexceptionhandler,info actbrsecustomexceptionhandler  customexceptionhandler handlecustomexception is returning 404 notfound not found errorresource type title badrequest status 400 message cannot deserialize instance of jlangstring out of startarray token
spg-service-request-inbound-consumer,a1642502490889,a.c.t.b.r.s.e.customexceptionhandler,info actbrsecustomexceptionhandler  requestid response errorresource type title badrequest status 400 message cannot deserialize instance of jlangstring out of startarray token
spg-service-request-inbound-consumer,a1642502490891,a.c.t.b.r.s.e.customexceptionhandler,info actbrsecustomexceptionhandler  requestid response errorresource type title badrequest status 400 message cannot deserialize instance of jlangstring out of startarray token
spg-service-request-inbound-consumer,a1642502490893,a.c.t.b.r.s.e.customexceptionhandler,info actbrsecustomexceptionhandler  customexceptionhandler handlecustomexception is returning 404 notfound not found errorresource type title badrequest status 400 message cannot deserialize instance of jlangstring out of startarray token
spg-service-request-inbound-consumer,a1642502490899,a.c.t.b.r.s.e.customexceptionhandler,info actbrsecustomexceptionhandler  customexceptionhandler handlecustomexception is returning 404 notfound not found errorresource type title badrequest status 400 message cannot deserialize instance of jlangstring out of startarray token
spg-service-request-inbound-consumer,a1642502490903,a.c.t.b.r.s.e.customexceptionhandler,info actbrsecustomexceptionhandler  requestid response errorresource type title badrequest status 400 message cannot deserialize instance of jlangstring out of startarray token
spg-incident-siiam-inbound,a1642502490917,j.lang.nullpointerexception,jlangnullpointerexception null
spg-service-request-inbound-provider,a1642502490931,o.s.w.c.httpservererrorexception.gatewaytimeout,oswchttpservererrorexceptiongatewaytimeout 504
r2r-spg-foundation-custom-api,a1642502490823,o.s.w.c.httpservererrorexception.badgateway,oswchttpservererrorexceptionbadgateway 502 bad gateway doctype html
r2r-spg-foundation-custom-api,a1642502490824,o.s.w.c.httpservererrorexception.badgateway,oswchttpservererrorexceptionbadgateway 502 bad gateway 502 bad gateway registered endpoint failed to handle the request
r2r-spg-foundation-custom-api,a1642502490930,o.s.w.c.httpservererrorexception.gatewaytimeout,oswchttpservererrorexceptiongatewaytimeout 504
r2r-spg-foundation-custom-api,a1642502490939,a.c.t.b.r.c.l.loggingaspect,error actbrclloggingaspect  foundationusercontroller createfoundationuser is throwing  ojsonjsonexception
r2r-spg-foundation-custom-api,a1642502490940,o.json.jsonexception,ojsonjsonexception unterminated string at character 0 line 2
r2r-spg-incident-custom-api,a1642502490959,a.c.t.b.r.c.u.commonutils,info actbrcucommonutils  get service central exception details error message jlangclasscastexception omjavascriptundefined cannot be cast to jlangstring detail status failure
r2r-spg-incident-custom-api,a1642502490961,a.c.t.b.r.c.u.commonutils,info actbrcucommonutils  get service central exception details error message jlangclasscastexception omjavascriptundefined cannot be cast to jlangstring detail status failure
r2r-spg-incident-custom-api,a1642502490962,o.s.w.c.httpservererrorexception.internalservererror,oswchttpservererrorexceptioninternalservererror 500 internal server error error detail message jlangclasscastexception status failure
r2r-spg-incident-custom-api,a1642502490963,a.c.t.b.r.c.u.commonutils,info actbrcucommonutils  get service central exception details error message jlangclasscastexception omjavascriptundefined cannot be cast to jlangstring detail status failure
r2r-spg-incident-custom-api,a1642502490964,o.s.w.c.httpservererrorexception.internalservererror,oswchttpservererrorexceptioninternalservererror 500 internal server error error detail message jlangclasscastexception status failure
r2r-spg-incident-custom-api,a1642502490965,o.s.w.c.httpservererrorexception.internalservererror,oswchttpservererrorexceptioninternalservererror 500 internal server error error message jlangclasscastexception omjavascriptundefined cannot be cast to jlangstring detail status failure
r2r-spg-incident-custom-api,a1642502490968,o.s.w.c.httpservererrorexception.internalservererror,oswchttpservererrorexceptioninternalservererror 500 internal server error error detail message jlangclasscastexception status failure
r2r-spg-incident-custom-api,a1642502490971,o.s.w.c.httpservererrorexception.internalservererror,oswchttpservererrorexceptioninternalservererror 500 internal server error error message jlangclasscastexception omjavascriptundefined cannot be cast to jlangstring detail status failure
r2r-spg-incident-custom-api,a1642502490974,j.lang.nullpointerexception,jlangnullpointerexception null
r2r-spg-incident-custom-api,a1642502490975,a.c.t.b.r.c.u.commonutils,info actbrcucommonutils  get service central exception details error detail message jlangclasscastexception status failure
spg-incident-outbound,a1642502490825,a.c.t.b.r.s.m.fromtarget.targetresponsedata,cfjdexcunrecognizedpropertyexception unrecognized field error class actbrsmfromtargettargetresponsedata not marked as ignorable 4 known properties status code message incidentid
spg-incident-outbound,a1642502490826,a.c.t.b.r.s.m.fromtarget.targetresponsedata,cfjdexcunrecognizedpropertyexception unrecognized field error class actbrsmfromtargettargetresponsedata not marked as ignorable 4 known properties status code message incidentid
spg-incident-outbound,a1642502490827,a.c.t.b.r.s.m.fromtarget.targetresponsedata,cfjdexcunrecognizedpropertyexception unrecognized field error class actbrsmfromtargettargetresponsedata not marked as ignorable 4 known properties status code message incidentid
spg-incident-outbound,a1642502490830,a.c.t.b.r.s.e.customexceptionhandler.handlehttpstatuscodeexception,warn oswsmmaexceptionhandlerexceptionresolver  failure in exceptionhandler public oshttpresponseentity jlangobject actbrsecustomexceptionhandlerhandlehttpstatuscodeexception oswclienthttpstatuscodeexception throws jioioexception
spg-incident-outbound,a1642502490831,c.f.j.d.e.unrecognizedpropertyexception.from,at cfjdeunrecognizedpropertyexceptionfrom unrecognizedpropertyexceptionjava
spg-incident-outbound,a1642502490832,a.c.t.b.r.s.m.fromtarget.targetresponsedata,cfjdexcunrecognizedpropertyexception unrecognized field error class actbrsmfromtargettargetresponsedata not marked as ignorable 4 known properties status code message incidentid
spg-incident-outbound,a1642502490833,a.c.t.b.r.s.e.customexceptionhandler.handlehttpstatuscodeexception,warn oswsmmaexceptionhandlerexceptionresolver  failure in exceptionhandler public oshttpresponseentity jlangobject actbrsecustomexceptionhandlerhandlehttpstatuscodeexception oswclienthttpstatuscodeexception throws jioioexception
spg-incident-outbound,a1642502490834,a.c.t.b.r.s.e.customexceptionhandler.handlehttpstatuscodeexception,warn oswsmmaexceptionhandlerexceptionresolver  failure in exceptionhandler public oshttpresponseentity jlangobject actbrsecustomexceptionhandlerhandlehttpstatuscodeexception oswclienthttpstatuscodeexception throws jioioexception
spg-incident-outbound,a1642502490835,a.c.t.b.r.s.e.customexceptionhandler.handlehttpstatuscodeexception,warn oswsmmaexceptionhandlerexceptionresolver  failure in exceptionhandler public oshttpresponseentity jlangobject actbrsecustomexceptionhandlerhandlehttpstatuscodeexception oswclienthttpstatuscodeexception throws jioioexception
spg-incident-outbound,a1642502490836,a.c.t.b.r.s.e.customexceptionhandler.handlehttpstatuscodeexception,warn oswsmmaexceptionhandlerexceptionresolver  failure in exceptionhandler public oshttpresponseentity jlangobject actbrsecustomexceptionhandlerhandlehttpstatuscodeexception oswclienthttpstatuscodeexception throws jioioexception
spg-incident-outbound,a1642502490837,a.c.t.b.r.s.e.customexceptionhandler.handlehttpstatuscodeexception,warn oswsmmaexceptionhandlerexceptionresolver  failure in exceptionhandler public oshttpresponseentity jlangobject actbrsecustomexceptionhandlerhandlehttpstatuscodeexception oswclienthttpstatuscodeexception throws jioioexception
spg-incident-outbound,a1642502490839,a.c.t.b.r.s.m.fromtarget.targetresponsedata,cfjdexcunrecognizedpropertyexception unrecognized field error class actbrsmfromtargettargetresponsedata not marked as ignorable 4 known properties status code message incidentid
spg-incident-outbound,a1642502490840,c.f.j.d.e.unrecognizedpropertyexception.from,at cfjdeunrecognizedpropertyexceptionfrom unrecognizedpropertyexceptionjava
spg-incident-outbound,a1642502490841,a.c.t.b.r.s.e.customexceptionhandler.handlehttpstatuscodeexception,warn oswsmmaexceptionhandlerexceptionresolver  failure in exceptionhandler public oshttpresponseentity jlangobject actbrsecustomexceptionhandlerhandlehttpstatuscodeexception oswclienthttpstatuscodeexception throws jioioexception
spg-incident-outbound,a1642502490842,a.c.t.b.r.s.m.fromtarget.targetresponsedata,cfjdexcunrecognizedpropertyexception unrecognized field error class actbrsmfromtargettargetresponsedata not marked as ignorable 4 known properties status code message incidentid
spg-incident-outbound,a1642502490843,a.c.t.b.r.s.m.fromtarget.targetresponsedata,cfjdexcunrecognizedpropertyexception unrecognized field error class actbrsmfromtargettargetresponsedata not marked as ignorable 4 known properties status code message incidentid
spg-incident-outbound,a1642502490844,c.f.j.d.e.unrecognizedpropertyexception.from,at cfjdeunrecognizedpropertyexceptionfrom unrecognizedpropertyexceptionjava
spg-incident-outbound,a1642502490845,a.c.t.b.r.s.m.fromtarget.targetresponsedata,cfjdexcunrecognizedpropertyexception unrecognized field error class actbrsmfromtargettargetresponsedata not marked as ignorable 4 known properties status code message incidentid
spg-incident-outbound,a1642502490846,a.c.t.b.r.s.e.customexceptionhandler.handlehttpstatuscodeexception,warn oswsmmaexceptionhandlerexceptionresolver  failure in exceptionhandler public oshttpresponseentity jlangobject actbrsecustomexceptionhandlerhandlehttpstatuscodeexception oswclienthttpstatuscodeexception throws jioioexception
